,source,target,following,followed_by
0,1197369638,19659370,False,True
0,1197369638,3036907250,False,False
0,2613410444,18932422,False,False
0,2613410444,132646210,True,False
0,2613410444,15750573,False,False
0,2613410444,19659370,False,False
0,2613410444,3036907250,False,False
0,824812182114164736,18932422,False,False
0,824812182114164736,132646210,True,False
0,824812182114164736,15750573,False,False
0,824812182114164736,19659370,False,False
0,824812182114164736,3036907250,True,True
0,897568340075479040,18932422,False,False
0,897568340075479040,132646210,False,False
0,897568340075479040,15750573,True,True
0,897568340075479040,19659370,False,False
0,897568340075479040,3036907250,False,False
0,2813275219,18932422,False,False
0,2813275219,132646210,False,False
0,2813275219,15750573,False,False
0,2813275219,19659370,True,False
0,2813275219,3036907250,False,False
0,69870134,18932422,False,False
0,69870134,132646210,False,False
0,69870134,15750573,False,False
0,69870134,19659370,False,True
0,69870134,3036907250,False,True
0,557863290,18932422,False,False
0,557863290,132646210,False,False
0,557863290,15750573,False,False
0,557863290,19659370,False,False
0,557863290,3036907250,False,False
0,96962998,18932422,False,False
0,96962998,132646210,False,True
0,96962998,15750573,False,False
0,96962998,19659370,False,False
0,96962998,3036907250,False,False
0,184032232,18932422,False,False
0,184032232,132646210,False,False
0,184032232,15750573,False,False
0,184032232,19659370,False,False
0,184032232,3036907250,False,False
0,1004448369140551682,18932422,False,False
0,1004448369140551682,132646210,False,False
0,1004448369140551682,15750573,False,False
0,1004448369140551682,19659370,True,True
0,1004448369140551682,3036907250,False,False
0,762501458,18932422,False,False
0,762501458,132646210,False,False
0,762501458,15750573,False,False
0,762501458,19659370,False,True
0,762501458,3036907250,False,False
0,1017171853914333185,18932422,False,False
0,1017171853914333185,132646210,True,False
0,1017171853914333185,15750573,False,False
0,1017171853914333185,19659370,False,False
0,1017171853914333185,3036907250,False,False
0,229200561,18932422,False,False
0,229200561,132646210,False,False
0,229200561,15750573,False,False
0,229200561,19659370,False,False
0,229200561,3036907250,False,False
0,405624426,18932422,False,False
0,405624426,132646210,False,False
0,405624426,15750573,False,False
0,405624426,19659370,False,False
0,405624426,3036907250,False,False
0,12044602,18932422,False,False
0,12044602,132646210,False,False
0,12044602,15750573,False,False
0,12044602,19659370,False,True
0,12044602,3036907250,False,False
0,930340722,18932422,False,True
0,930340722,132646210,False,False
0,930340722,15750573,False,False
0,930340722,19659370,False,False
0,930340722,3036907250,False,False
0,518957746,18932422,False,False
0,518957746,132646210,True,False
0,518957746,15750573,False,False
0,518957746,19659370,False,False
0,518957746,3036907250,False,False
0,23494977,18932422,False,False
0,23494977,132646210,False,False
0,23494977,15750573,False,False
0,23494977,19659370,False,False
0,23494977,3036907250,False,False
0,39781270,18932422,False,False
0,39781270,132646210,False,False
0,39781270,15750573,True,False
0,39781270,19659370,False,False
0,39781270,3036907250,False,False
0,557553364,18932422,False,False
0,557553364,132646210,False,False
0,557553364,15750573,False,False
0,557553364,19659370,True,True
0,557553364,3036907250,False,False
0,2797743527,18932422,False,False
0,2797743527,132646210,False,False
0,2797743527,15750573,True,False
0,2797743527,19659370,False,False
0,2797743527,3036907250,False,False
0,17600799,18932422,False,False
0,17600799,132646210,False,False
0,17600799,15750573,False,False
0,17600799,19659370,True,False
0,17600799,3036907250,False,False
0,563979425,18932422,False,False
0,563979425,132646210,False,False
0,563979425,15750573,True,True
0,563979425,19659370,False,False
0,563979425,3036907250,False,False
0,358026989,18932422,False,False
0,358026989,132646210,False,False
0,358026989,15750573,True,True
0,358026989,19659370,False,False
0,358026989,3036907250,False,False
0,47978543,18932422,False,False
0,47978543,132646210,True,True
0,47978543,15750573,False,False
0,47978543,19659370,False,False
0,47978543,3036907250,False,False
0,3577056016,18932422,False,False
0,3577056016,132646210,False,False
0,3577056016,15750573,False,False
0,3577056016,19659370,True,False
0,3577056016,3036907250,False,False
0,125123042,18932422,False,False
0,125123042,132646210,False,False
0,125123042,15750573,False,False
0,125123042,19659370,False,False
0,125123042,3036907250,False,False
0,190821474,18932422,False,False
0,190821474,132646210,True,True
0,190821474,15750573,False,False
0,190821474,19659370,False,False
0,190821474,3036907250,False,False
0,9533042,18932422,False,False
0,9533042,132646210,False,False
0,9533042,15750573,False,False
0,9533042,19659370,False,True
0,9533042,3036907250,False,False
0,984275749824638976,18932422,False,False
0,984275749824638976,132646210,False,True
0,984275749824638976,15750573,False,False
0,984275749824638976,19659370,False,False
0,984275749824638976,3036907250,False,False
0,33474334,18932422,False,True
0,33474334,132646210,False,True
0,33474334,15750573,False,False
0,33474334,19659370,False,True
0,33474334,3036907250,False,False
0,330151669,18932422,False,False
0,330151669,132646210,False,False
0,330151669,15750573,False,False
0,330151669,19659370,False,True
0,330151669,3036907250,False,False
0,860098587287588864,18932422,False,False
0,860098587287588864,132646210,False,False
0,860098587287588864,15750573,True,True
0,860098587287588864,19659370,False,False
0,860098587287588864,3036907250,False,False
0,212276623,18932422,False,False
0,212276623,132646210,True,True
0,212276623,15750573,False,False
0,212276623,19659370,False,False
0,212276623,3036907250,False,False
0,3107101390,18932422,False,True
0,3107101390,132646210,False,True
0,3107101390,15750573,False,False
0,3107101390,19659370,False,True
0,3107101390,3036907250,False,True
0,1190461842922995712,18932422,False,False
0,1190461842922995712,132646210,False,False
0,1190461842922995712,15750573,False,False
0,1190461842922995712,19659370,False,True
0,1190461842922995712,3036907250,False,False
0,1079473267,18932422,False,False
0,1079473267,132646210,False,False
0,1079473267,15750573,True,False
0,1079473267,19659370,False,False
0,1079473267,3036907250,False,False
0,302013973,18932422,False,False
0,302013973,132646210,False,False
0,302013973,15750573,False,False
0,302013973,19659370,False,True
0,302013973,3036907250,False,False
0,136142062,18932422,False,False
0,136142062,132646210,False,False
0,136142062,15750573,True,False
0,136142062,19659370,False,False
0,136142062,3036907250,False,False
0,1464314833,18932422,False,False
0,1464314833,132646210,False,False
0,1464314833,15750573,False,False
0,1464314833,19659370,False,False
0,1464314833,3036907250,False,False
0,1004615060,18932422,False,False
0,1004615060,132646210,False,False
0,1004615060,15750573,True,False
0,1004615060,19659370,False,False
0,1004615060,3036907250,False,False
0,68443905,18932422,False,False
0,68443905,132646210,True,True
0,68443905,15750573,False,False
0,68443905,19659370,False,False
0,68443905,3036907250,False,False
0,702292275435450369,18932422,False,False
0,702292275435450369,132646210,False,False
0,702292275435450369,15750573,False,False
0,702292275435450369,19659370,False,False
0,702292275435450369,3036907250,False,False
0,832267168276475904,18932422,False,False
0,832267168276475904,132646210,True,True
0,832267168276475904,15750573,False,False
0,832267168276475904,19659370,False,False
0,832267168276475904,3036907250,False,False
0,57246759,18932422,False,False
0,57246759,132646210,False,False
0,57246759,15750573,False,False
0,57246759,19659370,False,True
0,57246759,3036907250,False,False
0,2174482088,18932422,False,False
0,2174482088,132646210,False,False
0,2174482088,15750573,False,False
0,2174482088,19659370,False,False
0,2174482088,3036907250,False,False
0,434217283,18932422,False,False
0,434217283,132646210,False,False
0,434217283,15750573,False,False
0,434217283,19659370,False,False
0,434217283,3036907250,False,False
0,909545017,18932422,False,False
0,909545017,132646210,False,False
0,909545017,15750573,False,False
0,909545017,19659370,False,False
0,909545017,3036907250,False,False
0,1187226845155999749,18932422,False,False
0,1187226845155999749,132646210,False,False
0,1187226845155999749,15750573,False,False
0,1187226845155999749,19659370,True,False
0,1187226845155999749,3036907250,False,False
0,3415205164,18932422,False,False
0,3415205164,132646210,False,False
0,3415205164,15750573,False,False
0,3415205164,19659370,False,True
0,3415205164,3036907250,False,False
0,789736108896751616,18932422,False,False
0,789736108896751616,132646210,False,False
0,789736108896751616,15750573,True,False
0,789736108896751616,19659370,False,False
0,789736108896751616,3036907250,False,False
0,36347948,18932422,False,False
0,36347948,132646210,False,False
0,36347948,15750573,True,False
0,36347948,19659370,False,False
0,36347948,3036907250,False,False
0,36927290,18932422,False,False
0,36927290,132646210,True,False
0,36927290,15750573,False,False
0,36927290,19659370,False,False
0,36927290,3036907250,False,False
0,2916305152,18932422,False,False
0,2916305152,132646210,False,False
0,2916305152,15750573,False,False
0,2916305152,19659370,False,True
0,2916305152,3036907250,False,False
0,73909361,18932422,False,False
0,73909361,132646210,False,False
0,73909361,15750573,False,True
0,73909361,19659370,False,False
0,73909361,3036907250,False,False
0,852054291049316352,18932422,False,False
0,852054291049316352,132646210,False,False
0,852054291049316352,15750573,True,False
0,852054291049316352,19659370,False,False
0,852054291049316352,3036907250,False,False
